Nama,Gender,Angkatan,Tinggi,Waktu perjalanan Menit,Wilayah Tinggal
Johnny,L,2023,190,30,Jakarta
Ryan,L,2023,254,11,Jakarta
John,L,2023,200,125,Jakarta
Toyota,L,2023,199,56,Jakarta
Kanye,L,2023,166,12,Jakarta
Mike,L,2023,177,23,Jakarta
Mclovin,L,2023,156,34,Jakarta
Rayyan,L,2023,187,55,Bekasi
Donald,L,2023,167,60,Jakarta
Joe,L,2023,176,56,Jakarta
Adit,L,2023,190,30,Bekasi
Dewanto,L,2023,254,11,Bekasi
Felik,L,2023,200,125,Bekasi
Jett,L,2023,199,56,Jakarta
Dony,L,2023,166,12,Jakarta
Bambang,L,2023,177,23,Jakarta
Daniel,L,2023,156,34,Jakarta
Putra,L,2023,187,55,Bekasi
Rayhan,L,2023,167,60,Jakarta
,,2023,176,56,Bekasi
